NOfEnemies,EnemyStdX,EnemySparsity,EnemyStdY,PipeTopMeanY,PipeStdX,PipeTopProp
1,0.0,0.0,0.0,,,0.0
0,,,,,,0.0
0,,,,11.0,,0.002551020408163265
2,36.0,6.0,0.0,11.0,0.0,0.002551020408163265
4,50.0,7.0,0.0,9.0,0.25,0.00510204081632653
4,43.1875,5.375,0.0,,,0.0
2,1.0,1.0,0.0,9.0,13.714285714285714,0.00510204081632653
2,20.25,4.5,0.0,9.0,0.25,0.00510204081632653
5,22.160000000000004,4.16,4.0,9.0,0.25,0.00510204081632653
0,,,,,,0.0
1,0.0,0.0,0.0,,,0.0
2,72.25,8.5,0.0,9.0,0.25,0.002551020408163265
2,56.25,7.5,0.0,9.0,0.24000000000000005,0.002551020408163265
0,,,,,,0.0
1,0.0,0.0,0.0,,0.24,0.0
1,0.0,0.0,0.0,,,0.0
2,12.25,3.5,0.0,9.0,0.25,0.00510204081632653
1,0.0,0.0,0.0,,,0.0
0,,,,,0.0,0.0
4,57.1875,5.875,0.0,9.0,0.25,0.00510204081632653
3,44.22222222222223,6.222222222222221,0.0,10.25,42.4375,0.01020408163265306
3,4.222222222222222,1.777777777777778,0.0,9.0,0.25,0.00510204081632653
2,25.0,5.0,0.0,9.0,0.0,0.002551020408163265
3,10.666666666666666,2.6666666666666665,5.5555555555555545,,,0.0
2,0.25,0.5,0.0,11.0,0.2222222222222222,0.002551020408163265
1,0.0,0.0,0.0,,0.22222222222222224,0.0
3,8.666666666666666,2.6666666666666665,0.0,9.0,0.25,0.00510204081632653
2,20.25,4.5,0.0,11.0,0.25,0.002551020408163265
1,0.0,0.0,0.0,,,0.0
0,,,,,,0.0
5,63.75999999999999,7.76,0.0,,,0.0
0,,,,,,0.0
4,30.6875,4.625,11.6875,11.0,0.25,0.00510204081632653
0,,,,,,0.0
0,,,,,,0.0
4,13.25,3.5,0.0,,0.0,0.0
1,0.0,0.0,0.0,,,0.0
0,,,,10.0,0.25,0.00510204081632653
1,0.0,0.0,0.0,,,0.0
0,,,,,,0.0
0,,,,,0.0,0.0
2,20.25,4.5,0.0,10.666666666666666,0.25,0.007653061224489796
2,20.25,4.5,0.0,9.0,0.25,0.00510204081632653
0,,,,,0.0,0.0
0,,,,,,0.0
0,,,,11.0,0.25,0.00510204081632653
2,12.25,3.5,0.0,9.0,0.24,0.002551020408163265
3,1.5555555555555556,1.1111111111111114,0.0,,0.25,0.0
5,49.36,5.84,0.0,9.0,0.25,0.00510204081632653
5,56.64,7.12,0.0,,,0.0
0,,,,10.666666666666666,0.25,0.007653061224489796
2,20.25,4.5,0.0,,0.0,0.0
3,14.888888888888891,3.555555555555556,0.0,10.0,33.839999999999996,0.01020408163265306
0,,,,,,0.0
0,,,,11.0,0.0,0.002551020408163265
0,,,,11.0,0.0,0.002551020408163265
4,46.1875,5.25,0.0,9.0,0.25,0.00510204081632653
4,23.1875,4.75,0.0,9.0,0.25,0.00510204081632653
2,0.25,0.5,16.0,,,0.0
2,49.0,7.0,0.0,9.0,11.265306122448978,0.00510204081632653
4,47.1875,5.875,0.0,9.0,0.25,0.00510204081632653
0,,,,10.0,0.2222222222222222,0.00510204081632653
0,,,,,,0.0
1,0.0,0.0,0.0,11.0,0.0,0.00510204081632653
0,,,,,,0.0
3,1.5555555555555556,1.1111111111111114,0.0,10.0,19.0,0.012755102040816327
0,,,,,,0.0
3,8.666666666666666,2.6666666666666665,0.0,9.0,0.2222222222222222,0.002551020408163265
4,21.6875,4.25,0.0,9.0,0.25,0.00510204081632653
0,,,,11.0,0.25,0.00510204081632653
0,,,,,,0.0
1,0.0,0.0,0.0,,,0.0
2,36.0,6.0,0.0,9.0,0.25,0.00510204081632653
1,0.0,0.0,0.0,11.0,0.0,0.002551020408163265
3,44.22222222222223,6.222222222222221,0.0,10.0,42.4375,0.012755102040816327
1,0.0,0.0,0.0,,0.25,0.0
1,0.0,0.0,0.0,,,0.0
0,,,,11.0,68.22222222222221,0.002551020408163265
2,12.25,3.5,0.0,9.0,0.25,0.00510204081632653
3,38.22222222222222,5.777777777777778,0.0,9.0,0.24,0.002551020408163265
3,29.555555555555554,4.888888888888889,5.5555555555555545,,0.25,0.0
1,0.0,0.0,0.0,,,0.0
2,20.25,4.5,0.0,,,0.0
1,0.0,0.0,0.0,,,0.0
0,,,,,0.0,0.0
1,0.0,0.0,0.0,9.0,0.25,0.00510204081632653
0,,,,,,0.0
5,82.16000000000001,7.44,0.0,9.0,0.25,0.00510204081632653
5,68.96000000000001,6.959999999999999,0.0,9.0,37.714285714285715,0.00510204081632653
0,,,,,,0.0
6,33.80555555555555,4.5,0.0,9.0,0.25,0.00510204081632653
5,28.160000000000004,5.04,0.0,,,0.0
3,38.22222222222222,5.777777777777779,0.0,9.0,0.24,0.002551020408163265
3,2.6666666666666665,1.3333333333333333,0.0,9.0,0.24000000000000005,0.002551020408163265
0,,,,,,0.0
4,47.1875,5.875,0.0,10.0,0.25,0.002551020408163265
2,72.25,8.5,0.0,9.0,0.25,0.00510204081632653
0,,,,,0.25,0.0
0,,,,,,0.0
4,34.6875,5.75,0.0,9.666666666666666,37.714285714285715,0.007653061224489796
